Family,Type,Material: Name,Material: Volume,Material: Area,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,276.70 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,147.57 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,119.90 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Soldier Course,0.00 m³,7 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,184.46 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,138.35 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,White,0.00 m³,1851 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,18.45 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,302.05 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,161.10 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,130.89 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Soldier Course,0.00 m³,2030 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,17 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,201.37 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,151.03 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint - White Lining,0.00 m³,3 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,5 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
