Family,Type,Material: Area,Material: Volume,Thickness
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,241.03 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,0.00 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,241.03 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,80.34 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,20.09 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,0.00 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,97 m²,0.00 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,8 m²,0.00 m³,373
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr green roof,1607 m²,16.07 m³,373
Basic Roof,Roof_Generic-400mm,394 m²,157.52 m³,400
Basic Roof,Roof_Generic-400mm,32 m²,0.00 m³,400
Basic Roof,Roof_Generic-400mm,394 m²,0.00 m³,400
Basic Roof,Roof_Generic-400mm,163 m²,65.04 m³,400
Basic Roof,Roof_Generic-400mm,173 m²,0.00 m³,400
Basic Roof,Roof_Generic-400mm,5 m²,0.00 m³,400
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,6.96 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,0.00 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,6.96 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,2.32 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,0.19 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,46 m²,0.58 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,8.05 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,0.00 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,8.05 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,2.68 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,0.21 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,0.67 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,54 m²,0.00 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,29 m²,4.32 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,29 m²,0.00 m³,367
Basic Roof,Roof_Flat-4Felt-150Ins-50Scr-150Conc-12Plr,29 m²,4.32 m³,367
