Name,Number,Area,Level
Cafe,1,225 m²,Ground Floor Plan
Bar,2,104 m²,Ground Floor Plan
Gym,5,237 m²,Ground Floor Plan
Bike Storage,4,68 m²,Ground Floor Plan
Bin Storage,6,44 m²,Ground Floor Plan
Retail Unit 4,7,161 m²,Ground Floor Plan
Book Shop,9,86 m²,Ground Floor Plan
Stair Core/ Lift,8,43 m²,Ground Floor Plan
Reception,10,240 m²,Ground Floor Plan
Retail Unit 6,11,Not Placed,Not Placed
Stair Core/ Lift,3,38 m²,Ground Floor Plan
Open Plan,12,38 m²,1st Floor Level
Open Plan,13,39 m²,1st Floor Level
Bed 1,14,12 m²,1st Floor Level
Bed 2,15,9 m²,1st Floor Level
Bathroom,16,7 m²,1st Floor Level
Bed 3,17,16 m²,1st Floor Level
Bed 1,18,12 m²,1st Floor Level
Bed 1,19,14 m²,1st Floor Level
Bathroom,20,7 m²,1st Floor Level
Bathroom,21,7 m²,1st Floor Level
Open Plan,22,49 m²,1st Floor Level
Open Plan,23,35 m²,1st Floor Level
Bed 1,24,10 m²,1st Floor Level
Cloaks,25,6 m²,1st Floor Level
Bed 2,26,9 m²,1st Floor Level
Bathroom,27,7 m²,1st Floor Level
Bed 3,28,17 m²,1st Floor Level
Stair Core/ Lift,29,38 m²,1st Floor Level
Open Plan,30,40 m²,1st Floor Level
Cloaks,31,4 m²,1st Floor Level
Bed 1,32,10 m²,1st Floor Level
Bed 2,33,8 m²,1st Floor Level
Open Plan,34,44 m²,1st Floor Level
Cloaks,35,4 m²,1st Floor Level
Bed 2,36,8 m²,1st Floor Level
Bed 1,37,10 m²,1st Floor Level
Bed 3,38,16 m²,1st Floor Level
Bed 3,39,16 m²,1st Floor Level
Open Plan,40,45 m²,1st Floor Level
Bathroom,41,8 m²,1st Floor Level
Bed 1,42,21 m²,1st Floor Level
Bathroom,43,9 m²,1st Floor Level
Open Plan,44,49 m²,1st Floor Level
Bed 1,45,17 m²,1st Floor Level
Bed 2,46,13 m²,1st Floor Level
Open Plan,47,38 m²,1st Floor Level
Bathroom,48,7 m²,1st Floor Level
Bed 2,49,17 m²,1st Floor Level
Bed 1,50,17 m²,1st Floor Level
En-Suite,51,4 m²,1st Floor Level
Open Plan,52,42 m²,1st Floor Level
Bed 1,53,14 m²,1st Floor Level
Bed 2,54,17 m²,1st Floor Level
Bed 3,55,14 m²,1st Floor Level
Bathroom,56,10 m²,1st Floor Level
Stair Core/ Lift,57,17 m²,1st Floor Level
Bed 1,58,14 m²,1st Floor Level
Bed 2,59,11 m²,1st Floor Level
Open Plan,60,38 m²,1st Floor Level
Bathroom,61,4 m²,1st Floor Level
Stair Core,62,14 m²,1st Floor Level
Stair Core/ Lift,63,31 m²,1st Floor Level
Open Plan,64,35 m²,1st Floor Level
Bed 1,65,17 m²,1st Floor Level
Bed 2,66,12 m²,1st Floor Level
Bathroom,67,7 m²,1st Floor Level
Open Plan,68,58 m²,1st Floor Level
Open Plan,69,50 m²,1st Floor Level
Bathroom,70,7 m²,1st Floor Level
Bed 1,71,9 m²,1st Floor Level
Bathroom,72,8 m²,1st Floor Level
Bed 1,73,9 m²,1st Floor Level
Bed 2,74,11 m²,1st Floor Level
Bed 2,75,11 m²,1st Floor Level
Open Plan,76,53 m²,1st Floor Level
Open Plan,77,34 m²,1st Floor Level
Bathroom,78,6 m²,1st Floor Level
Bed 1,79,10 m²,1st Floor Level
Bed 1,80,8 m²,1st Floor Level
Bathroom,81,7 m²,1st Floor Level
Open Plan,82,27 m²,1st Floor Level
Bed 2,83,16 m²,1st Floor Level
Bed 1,84,9 m²,1st Floor Level
Bathroom,85,5 m²,1st Floor Level
Stair Core/ Lift,86,22 m²,1st Floor Level
Bed 2,87,10 m²,1st Floor Level
Open Plan,88,38 m²,2nd Floor Level
Open Plan,89,39 m²,2nd Floor Level
Bed 1,90,12 m²,2nd Floor Level
Bed 2,91,9 m²,2nd Floor Level
Bed 3,92,7 m²,2nd Floor Level
Room,93,16 m²,2nd Floor Level
Bed 1,94,12 m²,2nd Floor Level
Bed 1,95,13 m²,2nd Floor Level
Bathroom,96,6 m²,2nd Floor Level
Bathroom,97,8 m²,2nd Floor Level
Open Plan,98,49 m²,2nd Floor Level
Open Plan,99,35 m²,2nd Floor Level
Bed 1,100,10 m²,2nd Floor Level
Cloaks,101,6 m²,2nd Floor Level
Bed 2,102,9 m²,2nd Floor Level
Bathroom,103,7 m²,2nd Floor Level
Bed 3,104,17 m²,2nd Floor Level
Stair Core/ Lift,105,38 m²,2nd Floor Level
Open Plan,106,40 m²,2nd Floor Level
Cloaks,107,4 m²,2nd Floor Level
Bed 1,108,10 m²,2nd Floor Level
Bed 2,109,8 m²,2nd Floor Level
Open Plan,110,44 m²,2nd Floor Level
Cloaks,111,4 m²,2nd Floor Level
Bathroom,112,8 m²,2nd Floor Level
Bed 1,113,10 m²,2nd Floor Level
Bed 3,114,16 m²,2nd Floor Level
Bed 3,115,16 m²,2nd Floor Level
Open Plan,116,45 m²,2nd Floor Level
Bathroom,117,8 m²,2nd Floor Level
Bed 1,118,21 m²,2nd Floor Level
Bathroom,119,9 m²,2nd Floor Level
Open Plan,120,49 m²,2nd Floor Level
Bed 1,121,17 m²,2nd Floor Level
Bed 2,122,13 m²,2nd Floor Level
Open Plan,123,38 m²,2nd Floor Level
Bathroom,124,7 m²,2nd Floor Level
Bed 2,125,17 m²,2nd Floor Level
Bed 1,126,17 m²,2nd Floor Level
En-Suite,127,4 m²,2nd Floor Level
Open Plan,128,42 m²,2nd Floor Level
Bed 1,129,14 m²,2nd Floor Level
Bed 2,130,17 m²,2nd Floor Level
Bed 3,131,14 m²,2nd Floor Level
Bathroom,132,10 m²,2nd Floor Level
Stair Core/ Lift,133,13 m²,2nd Floor Level
Bed 1,134,14 m²,2nd Floor Level
Bed 2,135,11 m²,2nd Floor Level
Open Plan,136,38 m²,2nd Floor Level
Bathroom,137,4 m²,2nd Floor Level
Stair Core,138,14 m²,2nd Floor Level
Stair Core/ Lift,139,32 m²,2nd Floor Level
Open Plan,140,35 m²,2nd Floor Level
Bed 1,141,17 m²,2nd Floor Level
Bed 2,142,12 m²,2nd Floor Level
Bathroom,143,7 m²,2nd Floor Level
Open Plan,144,58 m²,2nd Floor Level
Open Plan,145,50 m²,2nd Floor Level
Bathroom,146,7 m²,2nd Floor Level
Bed 1,147,9 m²,2nd Floor Level
Bathroom,148,8 m²,2nd Floor Level
Bed 1,149,9 m²,2nd Floor Level
Bed 2,150,11 m²,2nd Floor Level
Bed 2,151,11 m²,2nd Floor Level
Open Plan,152,53 m²,2nd Floor Level
Open Plan,153,34 m²,2nd Floor Level
Bathroom,154,6 m²,2nd Floor Level
Bed 1,155,10 m²,2nd Floor Level
Bed 1,156,Not Enclosed,2nd Floor Level
Bathroom,157,7 m²,2nd Floor Level
Open Plan,158,27 m²,2nd Floor Level
Bed 2,159,28 m²,2nd Floor Level
Bed 1,160,9 m²,2nd Floor Level
Bathroom,161,5 m²,2nd Floor Level
Stair Core/ Lift,162,22 m²,2nd Floor Level
Bed 2,163,10 m²,2nd Floor Level
