Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,149 m²,106.52 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,149 m²,106.52 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,151 m²,106.52 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,148 m²,106.52 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,151 m²,106.52 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,White,151 m²,106.52 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,290 m²,211.57 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,287 m²,211.57 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,320 m²,211.57 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Soldier Course,274 m²,211.57 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,280 m²,211.57 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,320 m²,211.57 m³,712,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,81 m²,25.46 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,81 m²,25.46 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,81 m²,25.46 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Soldier Course,7 m²,25.46 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,81 m²,25.46 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,81 m²,25.46 m³,315,,
