Family,Type,Height,Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window 1800,2100,1st Floor Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window 1800,2100,2nd Floor Level
fixed_window_9254,New single window,2100,3rd Floor Level
fixed_window_9254,New single window 1800,2100,3rd Floor Level
fixed_window_9254,New single window,2100,4th Floor Level
fixed_window_9254,New single window 1800,2100,4th Floor Level
fixed_window_9254,New single window,2100,5th Floor Level
fixed_window_9254,New single window 1800,2100,5th Floor Level
fixed_window_9254,New single window,2100,6th Floor Level
fixed_window_9254,New single window 1800,2100,6th Floor Level
fixed_window_9254,New single window,2100,7th Floor Level
fixed_window_9254,New single window 1800,2100,7th Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window,2100,3rd Floor Level
fixed_window_9254,New single window,2100,4th Floor Level
fixed_window_9254,New single window,2100,5th Floor Level
fixed_window_9254,New single window,2100,6th Floor Level
fixed_window_9254,New single window,2100,7th Floor Level
fixed_window_9254,New single window 1800,2100,1st Floor Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window 1800,2100,2nd Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window 1800,2100,3rd Floor Level
fixed_window_9254,New single window,2100,3rd Floor Level
fixed_window_9254,New single window,2100,3rd Floor Level
fixed_window_9254,New single window 1800,2100,4th Floor Level
fixed_window_9254,New single window,2100,4th Floor Level
fixed_window_9254,New single window,2100,4th Floor Level
fixed_window_9254,New single window 1800,2100,5th Floor Level
fixed_window_9254,New single window,2100,5th Floor Level
fixed_window_9254,New single window,2100,5th Floor Level
fixed_window_9254,New single window 1800,2100,6th Floor Level
fixed_window_9254,New single window,2100,6th Floor Level
fixed_window_9254,New single window,2100,6th Floor Level
fixed_window_9254,New single window 1800,2100,7th Floor Level
fixed_window_9254,New single window,2100,7th Floor Level
fixed_window_9254,New single window,2100,7th Floor Level
fixed_window_9254,New single window 1800,2100,1st Floor Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window,2100,1st Floor Level
fixed_window_9254,New single window 1800,2100,2nd Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window,2100,2nd Floor Level
fixed_window_9254,New single window 1800,2100,3rd Floor Level
