Family,Type,Width,Thickness,Fire Rating
Aluprof_MB-86-ST-AD14_E_Alu_Sgl-Panel-Door-Inward-Opening_ENG_R-00331,900 x 2100 mm,1106,77,30 Minutes
Doors_ExtDbl_Flush,1510x2110mm,1510,44,30 Minutes
Doors_ExtDbl_Flush,1510x2110mm,1510,44,30 Minutes
Doors_ExtDbl_Flush,1510x2110mm,1510,44,30 Minutes
Doors_ExtDbl_Flush,1510x2110mm,1510,44,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_IntSgl,910x2110mm,910,38,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
Doors_GEALAN_S9000_Double-Vent-Door,Doors_GEALAN_S9000_Double-Vent-Door,2020,,30 Minutes
