Type,Family,Width,Height,Level,Mark
D101,Door-Curtain-Wall-Single-Glass,950,2325,00_Ground Floor,1
D102,M_Door-Single- Panel_Wood1,1200,2400,00_Ground Floor,2
D103,M_Door-Single-Panel_Wood,850,2330,00_Ground Floor,3
D104,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,4
D105,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,5
D106,Door-Passage-Uneven-Flush,1400,2032,00_Ground Floor,6
D107,Door-Exterior-Revolving-Full Glass-Metal,2337,2350,00_Ground Floor,7
D108,M_Door_Aluminum Louver_Double1,1800,2450,00_Ground Floor,8
D109,DAR-DR-Int_Passenger Lift Door,1400,2400,00_Ground Floor,9
D110,DAR-DR-Int_Passenger Lift Door,1400,2400,00_Ground Floor,10
D111,DAR-DR-Int_Passenger Lift Door,1400,2400,00_Ground Floor,11
D112,Door-Passage-Uneven-Flush,1400,2032,00_Ground Floor,12
D113,M_Door_Aluminum Louver_Double1,1800,2450,00_Ground Floor,13
D114,Door-Overhead-Rolling,4267,2400,-01_Basement Floor,14
D115,Door-Curtain-Wall-Single-Glass,825,2025,-01_Basement Floor,15
D116,Door-Curtain-Wall-Single-Glass,1298,2025,-01_Basement Floor,16
D117,DAR_Door-Curtain-Wall-Double-Glass,1500,2025,-01_Basement Floor,17
D118,Door-Curtain-Wall-Single-Glass,825,425,-01_Basement Floor,18
D119,Door-Curtain-Wall-Single-Glass,1298,425,-01_Basement Floor,19
D120,M_Door-Single-Panel_Wood,800,2330,00_Ground Floor,20
D121,M_Door-Single-Panel_Wood,800,2330,00_Ground Floor,21
D122,M_Door-Single-Panel_Wood,800,2330,00_Ground Floor,22
D123,M_Door-Single-Panel_Wood,950,2330,00_Ground Floor,23
D124,M_Door-Single-Panel_Wood,950,2330,00_Ground Floor,24
D125,Door-Passage-Uneven-Flush,1200,2100,-01_Basement Floor,25
D126,Door-Passage-Uneven-Flush,1200,2100,-01_Basement Floor,26
D127,M_Door-Single-Panel_Wood,950,2330,-01_Basement Floor,27
D128,M_Door-Single-Panel_Wood,950,2330,-01_Basement Floor,28
D129,M_Door-Single-Panel_Wood,850,2330,-01_Basement Floor,29
D130,M_Door-Single-Panel_Wood,850,2330,-01_Basement Floor,30
D131,M_Door-Single-Panel_Wood,850,2330,-01_Basement Floor,31
D132,M_Door-Single-Panel_Wood,850,2330,-01_Basement Floor,32
D133,M_Door-Single-Panel_Wood,850,2330,-01_Basement Floor,33
D134,M_Door-Single- Panel_Wood1,1200,2400,00_Ground Floor,34
D135,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,35
D136,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,36
D137,M_Door-Single-Panel_Wood,500,2330,00_Ground Floor,37
D138,DAR-DR-Int_Passenger Lift Door,1400,2400,01_First Floor,38
D139,DAR-DR-Int_Passenger Lift Door,1400,2400,01_First Floor,39
D140,DAR-DR-Int_Passenger Lift Door,1400,2400,01_First Floor,40
D141,DAR-DR-Int_Passenger Lift Door,1400,2400,01_First Floor,41
D142,M_Door-Single-Panel_Wood,900,2330,01_First Floor,42
D143,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,43
D144,M_Door-Dubble- Panel_Wood,1100,2200,00_Ground Floor,44
D145,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,45
D146,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,46
D147,Door-Passage-Uneven-Flush,1400,2032,01_First Floor,47
D148,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,48
D149,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,49
D150,M_Door-Single-Panel_Wood,500,2330,01_First Floor,50
D151,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,51
D152,M_Door-Dubble- Panel_Wood,1100,2200,01_First Floor,52
D153,M_Door-Single- Panel_Wood1,1200,2400,01_First Floor,53
D154,M_Door-Single-Panel_Wood,800,2330,01_First Floor,54
D155,M_Door-Single-Panel_Wood,800,2330,01_First Floor,55
D156,M_Door-Single- Panel_Wood1,1200,2400,01_First Floor,56
D157,Door-Passage-Uneven-Flush,1400,2032,01_First Floor,57
D158,M_Door-Single-Panel_Wood,500,2330,01_First Floor,58
D159,M_Door-Single-Panel_Wood,500,2330,01_First Floor,59
D160,M_Door-Single-Panel_Wood,500,2330,01_First Floor,60
D161,M_Door-Single-Panel_Wood,500,2330,01_First Floor,61
D162,M_Door-Single-Panel_Wood,500,2330,01_First Floor,62
D163,M_Door-Single-Panel_Wood,500,2330,01_First Floor,63
D164,M_Door-Single-Panel_Wood,500,2330,01_First Floor,64
D165,DAR-DR-Int_Passenger Lift Door,1400,2400,-01_Basement Floor,65
D166,M_Door-Single-Panel_Wood,700,2050,-01_Basement Floor,66
D167,M_Door-Single-Panel_Wood,700,2050,-01_Basement Floor,67
