Family,System Type,Length
Round Duct,Supply Air,44
Round Duct,Supply Air,340
Round Duct,Supply Air,1515
Round Duct,Supply Air,17995
Round Duct,Supply Air,4
Round Duct,Supply Air,380
Round Duct,Supply Air,4433
Round Duct,Supply Air,4
Round Duct,Supply Air,440
Round Duct,Supply Air,2664
Round Duct,Supply Air,44
Round Duct,Supply Air,320
Round Duct,Supply Air,1453
Round Duct,Supply Air,164
Round Duct,Supply Air,440
Round Duct,Supply Air,2774
Round Duct,Supply Air,853
Round Duct,Supply Air,853
Round Duct,Supply Air,2215
Round Duct,Supply Air,3876
Round Duct,Supply Air,85
Round Duct,Supply Air,907
Round Duct,Supply Air,104
Round Duct,Supply Air,699
Round Duct,Supply Air,4581
Round Duct,Supply Air,84
Round Duct,Supply Air,3996
Round Duct,Supply Air,4
Round Duct,Supply Air,843
Round Duct,Supply Air,17600
Round Duct,Supply Air,2034
Round Duct,Supply Air,2344
Round Duct,Supply Air,560
Round Duct,Supply Air,6586
Round Duct,Supply Air,104
Round Duct,Supply Air,1375
Round Duct,Supply Air,24
Round Duct,Supply Air,1375
Round Duct,Supply Air,3205
Round Duct,Supply Air,3691
Round Duct,Supply Air,13858
Round Duct,Supply Air,304
Round Duct,Supply Air,880
Round Duct,Supply Air,3853
Round Duct,Supply Air,124
Round Duct,Supply Air,980
Round Duct,Supply Air,3673
Round Duct,Supply Air,104
Round Duct,Supply Air,980
Round Duct,Supply Air,3653
Round Duct,Supply Air,304
Round Duct,Supply Air,880
Round Duct,Supply Air,3853
Round Duct,Supply Air,204
Round Duct,Supply Air,480
Round Duct,Supply Air,2869
Round Duct,Supply Air,504
Round Duct,Supply Air,680
Round Duct,Supply Air,4227
Round Duct,Supply Air,304
Round Duct,Supply Air,880
Round Duct,Supply Air,4027
Round Duct,Supply Air,504
Round Duct,Supply Air,580
Round Duct,Supply Air,2246
Round Duct,Supply Air,204
Round Duct,Supply Air,480
Round Duct,Supply Air,1946
Round Duct,Supply Air,104
Round Duct,Supply Air,480
Round Duct,Supply Air,1528
Round Duct,Supply Air,304
Round Duct,Supply Air,580
Round Duct,Supply Air,1728
Round Duct,Supply Air,104
Round Duct,Supply Air,580
Round Duct,Supply Air,1528
Round Duct,Supply Air,104
Round Duct,Supply Air,780
Round Duct,Supply Air,1528
Round Duct,Supply Air,396
Round Duct,Supply Air,825
Round Duct,Supply Air,445
Round Duct,Supply Air,3132
Round Duct,Supply Air,3395
Round Duct,Supply Air,3797
Round Duct,Supply Air,470
Round Duct,Supply Air,7862
Round Duct,Supply Air,7374
Round Duct,Supply Air,1869
Round Duct,Supply Air,1427
Round Duct,Supply Air,10387
Round Duct,Supply Air,7116
Round Duct,Supply Air,996
Round Duct,Supply Air,3669
Round Duct,Supply Air,3799
Round Duct,Supply Air,879
Round Duct,Supply Air,1563
Round Duct,Supply Air,5531
Round Duct,Supply Air,1513
Round Duct,Supply Air,1134
Round Duct,Supply Air,1134
Round Duct,Supply Air,4764
Round Duct,Supply Air,1622
Round Duct,Supply Air,402
Round Duct,Supply Air,296
Round Duct,Supply Air,1403
Round Duct,Supply Air,451
Round Duct,Supply Air,1659
Round Duct,Supply Air,96
Round Duct,Supply Air,2282
Round Duct,Supply Air,70
Round Duct,Supply Air,1589
Round Duct,Supply Air,9129
Round Duct,Supply Air,35
Round Duct,Supply Air,524
Round Duct,Supply Air,3443
Rectangular Duct,Supply Air,6808
Round Duct,Supply Air,5872
Round Duct,Supply Air,2081
Round Duct,Supply Air,5124
Round Duct,Supply Air,896
Round Duct,Supply Air,1450
Round Duct,Supply Air,10
Round Duct,Supply Air,123
