Family,Level,System Classification,Mark,,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,7,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,8,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,9,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,10,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,11,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,12,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,13,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,14,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,15,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,16,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,17,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,18,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,19,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,20,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,21,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,22,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,23,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,24,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,25,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,26,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,27,,
