Type,Family,Area,Height
Glazed,System Panel,5 m²,2325
Glazed,System Panel,3 m²,1470
Glazed,System Panel,3 m²,1470
Glazed,System Panel,3 m²,1470
BEN714_PT_05-20,Basic Wall,0 m²,2375
Glazed,System Panel,3 m²,2325
Glazed,System Panel,9 m²,3620
Glazed,System Panel,9 m²,3620
Glazed,System Panel,9 m²,3620
Glazed,System Panel,6 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,4 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,4 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,6 m²,2995
Glazed,System Panel,2 m²,2995
Glazed,System Panel,6 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,2 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,5 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,6 m²,2795
Glazed,System Panel,3 m²,2795
Glazed,System Panel,1 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,2 m²,850
Glazed,System Panel,2 m²,850
Glazed,System Panel,2 m²,850
Glazed,System Panel,1 m²,850
Glazed,System Panel,1 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,2 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,11 m²,8690
Glazed,System Panel,17 m²,8690
Glazed,System Panel,17 m²,8690
Glazed,System Panel,17 m²,8690
Glazed,System Panel,26 m²,12965
Glazed,System Panel,16 m²,12965
Glazed,System Panel,5 m²,2995
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,1 m²,950
Glazed,System Panel,4 m²,2795
Glazed,System Panel,5 m²,2995
Glazed,System Panel,5 m²,2995
Glazed,System Panel,2 m²,950
Glazed,System Panel,1 m²,950
