Family,Type,System Length,Base Level,Top Level,Structural Material,Weight,Exact Weight,Column Location Mark
UC-Universal Columns-Column,254UC89,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,268.48 kg,F-1
UC-Universal Columns-Column,305UC118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,344.95 kg,F-2
UC-Universal Columns-Column,305UC158,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,222.99 kg,386.70 kg,F-3
UC-Universal Columns-Column,305UC158,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,222.99 kg,386.70 kg,F-4(-2739)
UC-Universal Columns-Column,305UC118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,344.95 kg,F-4(1838)
UC-Universal Columns-Column,254UC89,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,268.48 kg,F-5(-2751)
UC-Universal Columns-Column,305UC118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,344.95 kg,F-5
UC-Universal Columns-Column,305UC118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,344.95 kg,F-6
UC-Universal Columns-Column,254UC89,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,268.48 kg,F-8(-2972)
UC-Universal Columns-Column,254UC89,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,268.48 kg,F-8
UC-Universal Columns-Column,305UC118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,344.95 kg,F-7
Rectangular Hollow Sections-Column,RHS150x100x5,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,131.49 kg,46.24 kg,F-2(2416)
Rectangular Hollow Sections-Column,RHS150x100x5,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,131.49 kg,46.24 kg,F-3(-1546)
UC-Universal Columns-Column,UC305x305x118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,355.00 kg,E(-4000)-8
UC-Universal Columns-Column,UC305x305x118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,351.51 kg,E-8
UC-Universal Columns-Column,UC305x305x118,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,351.51 kg,D(2073)-8
Rectangular Hollow Sections-Column,SHS100x6.3,2600,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,112.10 kg,47.66 kg,F(1684)-8
Rectangular Hollow Sections-Column,RHS150x100x5,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,131.49 kg,45.42 kg,D(-1495)-8
UC-Universal Columns-Column,305UC97,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,294.60 kg,288.06 kg,A-8
UC-Universal Columns-Column,305UC158,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,222.99 kg,386.70 kg,A-6
UC-Universal Columns-Column,305UC158,3050,Level -01 Basement Floor,Level 00 - Ground Floor,Metal - Steel 50-355,222.99 kg,386.70 kg,A-5
