Family,Type,Volume
Square Hollow Sections,SHS200x200x10,0.02 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
UB-Universal Beams,UB457x152x52,0.03 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Square Hollow Sections,SHS200x200x10,0.03 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
Plate,15X150,0.01 m³
UB-Universal Beams,UB406x178x60,0.06 m³
UB-Universal Beams,UB406x178x60,0.04 m³
UB-Universal Beams,UB406x178x60,0.03 m³
UB-Universal Beams,UB406x178x60,0.02 m³
UB-Universal Beams,UB356x171x45,0.02 m³
UB-Universal Beams,UB406x178x60,0.06 m³
UB-Universal Beams,UB406x178x60,0.06 m³
UB-Universal Beams,UB406x178x60,0.03 m³
UB-Universal Beams,UB457x152x67,0.06 m³
UB-Universal Beams,UB457x152x52,0.05 m³
UB-Universal Beams,UB457x152x52,0.05 m³
UB-Universal Beams,UB457x152x67,0.06 m³
UB-Universal Beams,UB457x152x67,0.06 m³
UB-Universal Beams,UB203x133x30,0.01 m³
