Material: Name,Material: Area,Material: Volume,Type,Family,Function,Width,Length,Volume
Concrete Masonry Units,16 m²,3.43 m³,BEN714_EX-01-545,Basic Wall,Exterior,545,678,8.70 m³
Air,16 m²,1.12 m³,BEN714_EX-01-545,Basic Wall,Exterior,545,678,8.70 m³
Insulation-Rockwool,16 m²,2.55 m³,BEN714_EX-01-545,Basic Wall,Exterior,545,678,8.70 m³
Cladding,16 m²,1.60 m³,BEN714_EX-01-545,Basic Wall,Exterior,545,678,8.70 m³
EXTERIOR WALL PAINT,16 m²,0.00 m³,BEN714_EX-01-545,Basic Wall,Exterior,545,678,8.70 m³
Concrete Masonry Units,229 m²,31.99 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,8516,107.40 m³
Air,229 m²,16.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,8516,107.40 m³
Insulation-Rockwool,229 m²,36.56 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,8516,107.40 m³
Cladding,229 m²,22.85 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,8516,107.40 m³
EXTERIOR WALL PAINT,229 m²,0.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,8516,107.40 m³
Concrete Masonry Units,356 m²,49.83 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,36965,167.28 m³
Air,356 m²,24.91 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,36965,167.28 m³
Insulation-Rockwool,356 m²,56.95 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,36965,167.28 m³
Cladding,356 m²,35.59 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,36965,167.28 m³
EXTERIOR WALL PAINT,356 m²,0.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,36965,167.28 m³
Concrete Masonry Units,66 m²,9.17 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,2781,30.74 m³
Air,65 m²,4.57 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,2781,30.74 m³
Insulation-Rockwool,65 m²,10.46 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,2781,30.74 m³
Cladding,65 m²,6.53 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,2781,30.74 m³
EXTERIOR WALL PAINT,65 m²,0.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,2781,30.74 m³
Concrete Masonry Units,156 m²,33.60 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,7135,33.60 m³
Concrete Masonry Units,58 m²,12.53 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,2025,12.53 m³
Concrete Masonry Units,205 m²,44.10 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,7135,44.10 m³
Concrete Masonry Units,80 m²,17.25 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,2600,17.25 m³
Concrete Masonry Units,134 m²,23.43 m³,BEN714_IN-02_175,Basic Wall,Exterior,175,5234,23.43 m³
Concrete Masonry Units,175 m²,35.07 m³,BEN714_IN-03_200,Basic Wall,Exterior,200,6758,35.07 m³
Concrete Masonry Units,106 m²,15.86 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,3938,15.86 m³
Concrete Masonry Units,27 m²,6.73 m³,BEN714_IN-04_250,Basic Wall,Exterior,250,930,6.73 m³
Concrete Masonry Units,68 m²,8.11 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,3853,8.11 m³
Concrete Masonry Units,16 m²,2.45 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,735,2.45 m³
Concrete Masonry Units,19 m²,2.88 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,1590,2.88 m³
Concrete Masonry Units,16 m²,3.26 m³,BEN714_IN-03_200,Basic Wall,Exterior,200,735,3.26 m³
Concrete Masonry Units,24 m²,3.58 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,3714,3.58 m³
Concrete Masonry Units,19 m²,2.28 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,860,2.28 m³
Concrete Masonry Units,91 m²,10.95 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,6563,10.95 m³
Concrete Masonry Units,16 m²,2.42 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,1524,2.42 m³
Concrete Masonry Units,9 m²,1.35 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,168,1.35 m³
Air,11 m²,0.74 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2657,1.27 m³
Gypsum Wall Board,21 m²,0.53 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2657,1.27 m³
Air,5 m²,0.36 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2050,0.62 m³
Gypsum Wall Board,10 m²,0.26 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2050,0.62 m³
Air,30 m²,2.08 m³,BEN714_PT_01-120,Basic Wall,Interior,120,7534,3.56 m³
Gypsum Wall Board,59 m²,1.48 m³,BEN714_PT_01-120,Basic Wall,Interior,120,7534,3.56 m³
Air,11 m²,0.77 m³,BEN714_PT_02-130,Basic Wall,Interior,130,2806,1.43 m³
Gypsum Wall Board,22 m²,0.66 m³,BEN714_PT_02-130,Basic Wall,Interior,130,2806,1.43 m³
Concrete Masonry Units,82 m²,17.70 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,2604,17.70 m³
Concrete Masonry Units,25 m²,5.43 m³,BEN714_IN-01_215,Basic Wall,Exterior,215,3219,5.43 m³
Air,3 m²,0.21 m³,BEN714_PT_01-120,Basic Wall,Interior,120,787,0.36 m³
Gypsum Wall Board,6 m²,0.15 m³,BEN714_PT_01-120,Basic Wall,Interior,120,787,0.36 m³
Air,8 m²,0.56 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2968,0.96 m³
Gypsum Wall Board,16 m²,0.40 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2968,0.96 m³
Air,11 m²,0.78 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.34 m³
Gypsum Wall Board,22 m²,0.56 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.34 m³
Air,29 m²,2.02 m³,BEN714_PT_01-120,Basic Wall,Interior,120,8898,3.47 m³
Gypsum Wall Board,58 m²,1.44 m³,BEN714_PT_01-120,Basic Wall,Interior,120,8898,3.47 m³
Air,11 m²,0.75 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.28 m³
Gypsum Wall Board,21 m²,0.53 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.28 m³
Air,8 m²,0.59 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.01 m³
Gypsum Wall Board,17 m²,0.42 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.01 m³
Air,8 m²,0.58 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2286,1.00 m³
Gypsum Wall Board,17 m²,0.42 m³,BEN714_PT_01-120,Basic Wall,Interior,120,2286,1.00 m³
Air,9 m²,0.60 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.03 m³
Gypsum Wall Board,17 m²,0.43 m³,BEN714_PT_01-120,Basic Wall,Interior,120,3078,1.03 m³
Air,33 m²,2.32 m³,BEN714_PT_01-120,Basic Wall,Interior,120,1244,3.97 m³
Gypsum Wall Board,66 m²,1.65 m³,BEN714_PT_01-120,Basic Wall,Interior,120,1244,3.97 m³
Air,18 m²,1.26 m³,BEN714_PT_01-120,Basic Wall,Interior,120,786,2.16 m³
Gypsum Wall Board,36 m²,0.90 m³,BEN714_PT_01-120,Basic Wall,Interior,120,786,2.16 m³
Air,74 m²,5.16 m³,BEN714_PT_02-130,Basic Wall,Interior,130,2885,9.59 m³
Gypsum Wall Board,148 m²,4.43 m³,BEN714_PT_02-130,Basic Wall,Interior,130,2885,9.59 m³
Gypsum Wall Board,26 m²,0.78 m³,BEN714_PT_04-30,Basic Wall,Interior,30,3378,0.78 m³
Gypsum Wall Board,2 m²,0.07 m³,BEN714_PT_04-30,Basic Wall,Interior,30,298,0.07 m³
Gypsum Wall Board,2 m²,0.05 m³,BEN714_PT_04-30,Basic Wall,Interior,30,213,0.05 m³
Gypsum Wall Board,1 m²,0.03 m³,BEN714_PT_04-30,Basic Wall,Interior,30,213,0.03 m³
Gypsum Wall Board,5 m²,0.16 m³,BEN714_PT_04-30,Basic Wall,Interior,30,778,0.16 m³
Gypsum Wall Board,5 m²,0.14 m³,BEN714_PT_04-30,Basic Wall,Interior,30,623,0.14 m³
Gypsum Wall Board,4 m²,0.11 m³,BEN714_PT_04-30,Basic Wall,Interior,30,138,0.11 m³
Gypsum Wall Board,7 m²,0.20 m³,BEN714_PT_04-30,Basic Wall,Interior,30,294,0.20 m³
Gypsum Wall Board,7 m²,0.21 m³,BEN714_PT_04-30,Basic Wall,Interior,30,306,0.21 m³
Gypsum Wall Board,10 m²,0.31 m³,BEN714_PT_04-30,Basic Wall,Interior,30,445,0.31 m³
Gypsum Wall Board,9 m²,0.26 m³,BEN714_PT_04-30,Basic Wall,Interior,30,391,0.26 m³
Concrete Masonry Units,130 m²,19.53 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,4937,19.53 m³
Concrete Masonry Units,14 m²,1.74 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,547,1.74 m³
Concrete Masonry Units,73 m²,8.73 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,3457,8.73 m³
Concrete Masonry Units,45 m²,5.39 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,2536,5.39 m³
Concrete Masonry Units,91 m²,10.90 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,3636,10.90 m³
Concrete Masonry Units,72 m²,8.61 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,2638,8.61 m³
