Type,Family,Area,Width,Base Constraint,Top Constraint,Function,Structural Usage,Fire Rating,Volume,Length
BEN714_EX-01-545,Basic Wall,16 m²,545,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,8.70 m³,678
BEN714_EX-01-470,Basic Wall,229 m²,470,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,107.40 m³,8516
BEN714_EX-01-470,Basic Wall,356 m²,470,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,167.28 m³,36965
BEN714_EX-01-470,Basic Wall,66 m²,470,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,30.74 m³,2781
BEN714_IN-01_215,Basic Wall,156 m²,215,-01_Basement Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,33.60 m³,7135
BEN714_IN-01_215,Basic Wall,58 m²,215,-01_Basement Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,12.53 m³,2025
BEN714_IN-01_215,Basic Wall,205 m²,215,-01_Basement Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,44.10 m³,7135
BEN714_IN-01_215,Basic Wall,80 m²,215,-01_Basement Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,17.25 m³,2600
BEN714_IN-02_175,Basic Wall,134 m²,175,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,23.43 m³,5234
BEN714_IN-03_200,Basic Wall,175 m²,200,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,35.07 m³,6758
BEN714_IN-06_150,Basic Wall,106 m²,150,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,15.86 m³,3938
BEN714_IN-04_250,Basic Wall,27 m²,250,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,6.73 m³,930
BEN714_IN-05_120,Basic Wall,68 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,8.11 m³,3853
BEN714_IN-06_150,Basic Wall,16 m²,150,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,2.45 m³,735
BEN714_IN-06_150,Basic Wall,19 m²,150,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,2.88 m³,1590
BEN714_IN-03_200,Basic Wall,16 m²,200,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,3.26 m³,735
BEN714_IN-06_150,Basic Wall,24 m²,150,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,3.58 m³,3714
BEN714_IN-05_120,Basic Wall,19 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,2.28 m³,860
BEN714_IN-05_120,Basic Wall,91 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,10.95 m³,6563
BEN714_IN-06_150,Basic Wall,16 m²,150,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,2.42 m³,1524
BEN714_IN-06_150,Basic Wall,9 m²,150,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,1.35 m³,168
BEN714_PT_01-120,Basic Wall,11 m²,120,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,1.27 m³,2657
BEN714_PT_01-120,Basic Wall,5 m²,120,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.62 m³,2050
BEN714_PT_01-120,Basic Wall,30 m²,120,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,3.56 m³,7534
BEN714_PT_02-130,Basic Wall,11 m²,130,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,1.43 m³,2806
BEN714_IN-01_215,Basic Wall,82 m²,215,-01_Basement Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,17.70 m³,2604
BEN714_IN-01_215,Basic Wall,25 m²,215,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,5.43 m³,3219
BEN714_PT_01-120,Basic Wall,3 m²,120,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.36 m³,787
BEN714_PT_01-120,Basic Wall,8 m²,120,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.96 m³,2968
