Area,Base Finish,Level,Name,Number,Perimeter
18 m²,,Ground Floor Level,Office,1,21542
14 m²,,Ground Floor Level,Office,2,15273
14 m²,,Ground Floor Level,Office,3,15919
29 m²,,Ground Floor Level,Office,4,22162
18 m²,,Ground Floor Level,Office,5,18646
30 m²,,Ground Floor Level,Office,6,24575
63 m²,,Ground Floor Level,Board Room,7,31911
68 m²,,Ground Floor Level,Foyer,8,75260
3 m²,,Ground Floor Level,W.C.,9,7247
5 m²,,Ground Floor Level,Store,10,9139
16 m²,,Ground Floor Level,BBC Studio,11,16146
18 m²,,Ground Floor Level,Canteen,12,17069
31 m²,,Ground Floor Level,Corridor,13,38997
21 m²,,Ground Floor Level,Lobby,14,20716
6 m²,,Ground Floor Level,W.C.,15,9673
19 m²,,Ground Floor Level,Safe Room,16,17893
8 m²,,Ground Floor Level,BBC Recpt,17,12176
4 m²,,Ground Floor Level,Lobby,18,8293
25 m²,,Ground Floor Level,Hall,19,35314
3 m²,,Ground Floor Level,Lift,20,6517
2 m²,,Ground Floor Level,Store,21,6261
2 m²,,Ground Floor Level,Room,22,6411
9 m²,,Ground Floor Level,Female Toilets,23,17173
17 m²,,Ground Floor Level,Office,24,18398
23 m²,,Ground Floor Level,Oil Tank Room,25,24117
9 m²,,Ground Floor Level,Boiler Room,26,11761
4 m²,,Ground Floor Level,W.C.,27,7907
Not Placed,,Not Placed,Male Toilets,28,Not Placed
6 m²,,Ground Floor Level,Male Toilets,29,14548
6 m²,,Mezzaine Floor Level,Landing,30,10232
21 m²,,Mezzaine Floor Level,Store,31,18652
14 m²,,Mezzaine Floor Level,Changing Room,32,15068
13 m²,,Mezzaine Floor Level,Changing Room,33,14531
12 m²,,Mezzaine Floor Level,Room,34,19721
10 m²,,Mezzaine Floor Level,Male Toilets,35,15700
8 m²,,Mezzaine Floor Level,Female Toilets,36,14476
15 m²,,Mezzaine Floor Level,Changing Room,37,18567
16 m²,,Mezzaine Floor Level,Changing Room,38,19073
33 m²,,Mezzaine Floor Level,McANUFF Room,39,30141
7 m²,,Mezzaine Floor Level,Corridor,40,11867
23 m²,,Mezzaine Floor Level,Stairs,41,26835
13 m²,,Mezzaine Floor Level,Room,42,17058
19 m²,,Mezzaine Floor Level,Stairs,43,31455
6 m²,,Mezzaine Floor Level,Room,44,9701
3 m²,,Mezzaine Floor Level,Lift,45,6471
30 m²,,First Floor Level,Stairs,46,25096
256 m²,,First Floor Level,Main Hall,47,82032
30 m²,,First Floor Level,Room,48,25155
30 m²,,Stage Floor Level,Corridor,49,38494
32 m²,,Stage Floor Level,Kitchen,50,28313
3 m²,,Stage Floor Level,Lift,51,6630
24 m²,,Stage Floor Level,Stairs,52,20825
420 m²,,Stage Floor Level,Stage,53,120487
22 m²,,Second Floor Level,Stairs,54,19351
30 m²,,Second Floor Level,Stairs,55,25155
