Type,Family,Width,Length,Area,Volume,Function,Structural Material,
Wall-Ext_102Brick-248Hardcore-405Stone-15P,Basic Wall,771,14799,167 m²,129.05 m³,Exterior,Site Rubble/Hardcore,
Wall-Ext_102Brick-248Hardcore-405Stone-15P,Basic Wall,771,21075,254 m²,195.70 m³,Exterior,Site Rubble/Hardcore,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,3668,34 m²,18.29 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,8620,71 m²,37.55 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,4362,46 m²,24.11 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,1365,4 m²,2.22 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,3668,26 m²,13.78 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,8600,54 m²,28.89 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,711,12 m²,6.33 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,721,6 m²,1.77 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1700,7 m²,2.18 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,4100,8 m²,2.49 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1700,7 m²,1.76 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,600,5 m²,1.46 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1484,7 m²,2.27 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,3864,28 m²,9.59 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,68,4 m²,1.32 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,3514,33 m²,11.36 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,6000,41 m²,13.84 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,728,10 m²,5.38 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,7294,59 m²,20.14 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,3934,33 m²,17.62 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,886,11 m²,6.00 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,3597,27 m²,9.25 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,2511,20 m²,6.77 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1372,3 m²,0.90 m³,Exterior,Stone External Walls,
